DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Family size
COLOR	#000000

Sulfurospirillaceae	4.523561956057013
Sulfurovaceae	3.9068905956085187
Sutterellaceae	3.9068905956085187
Symbiobacteriaceae	3.0
Synechococcaceae	6.954196310386875
Synergistaceae	3.4594316186372973
Syntrophaceae	2.321928094887362
Syntrophobacteraceae	4.247927513443585
Syntrophomonadaceae	3.169925001442312
Syntrophotaleaceae	2.584962500721156
Tannerellaceae	5.754887502163468
Tardisphaeraceae	1.0
Temperatibacteraceae	2.321928094887362
Tenuifilaceae	1.0
Tepidamorphaceae	4.321928094887363
Tepidanaerobacteraceae	2.807354922057604
Tepidiformaceae	3.169925001442312
Tepidimicrobiaceae	2.0
Terasakiellaceae	3.584962500721156
Terrimicrobiaceae	1.584962500721156
Terrirubraceae	2.807354922057604
Thalassobaculaceae	4.700439718141092
Thalassospiraceae	6.409390936137702
Thermaceae	6.266786540694901
Thermatribacteraceae	1.584962500721156
Thermithiobacillaceae	2.321928094887362
Thermoactinomycetaceae	6.491853096329675
Thermoanaerobacteraceae	5.20945336562895
Thermoanaerobaculaceae	1.0
Thermococcaceae	3.321928094887362
Thermodesulfatatoraceae	2.321928094887362
Thermodesulfobacteriaceae	4.087462841250339
Thermodesulfobiaceae	2.321928094887362
Thermodesulforhabdaceae	2.0
Thermodesulfovibrionaceae	3.700439718141092
Thermoflexaceae	2.0
Thermoflexibacteraceae	2.321928094887362
Thermogemmatisporaceae	2.321928094887362
Thermoguttaceae	1.584962500721156
Thermohalobacteraceae	2.584962500721156
Thermoleophilaceae	2.321928094887362
Thermomicrobiaceae	2.0
Thermomonosporaceae	7.857980995127572
Thermonemataceae	2.807354922057604
Thermoplasmataceae	2.0
Thermoproteaceae	3.584962500721156
Thermosediminibacteraceae	1.584962500721156
Thermospiraceae	1.584962500721156
Thermostichaceae	1.584962500721156
Thermosulfidibacteraceae	1.584962500721156
Thermosynechococcaceae	3.807354922057604
Thermotaleaceae	3.321928094887362
Thermotogaceae	2.807354922057604
Thermotomaculaceae	1.584962500721156
Thioalkalibacteraceae	3.9068905956085187
Thiobacillaceae	3.169925001442312
Thiobacteraceae	1.584962500721156
Thiofilaceae	2.321928094887362
Thiohalobacteraceae	3.169925001442312
Thiohalomonadaceae	2.584962500721156
Thiohalophilaceae	1.584962500721156
Thiohalorhabdaceae	2.321928094887362
Thiohalospiraceae	1.584962500721156
Thiotrichaceae	6.0
Thiovibrionaceae	1.584962500721156
Thorselliaceae	2.321928094887362
Tichowtungiaceae	2.0
Tindalliaceae	1.0
Tissierellaceae	4.321928094887363
Tolypothrichaceae	3.169925001442312
Treponemataceae	5.129283016944966
Trichloromonadaceae	1.584962500721156
Trichocoleusaceae	2.321928094887362
Tsukamurellaceae	5.044394119358453
Turicibacteraceae	1.0
Usitatibacteraceae	3.700439718141092
Vallicoccaceae	1.584962500721156
Vallitaleaceae	4.169925001442312
Veillonellaceae	5.523561956057013
Ventosimonadaceae	1.584962500721156
Verrucomicrobiaceae	6.22881869049588
Vibrionaceae	9.057991722759176
Vicinamibacteraceae	3.169925001442312
Weeksellaceae	8.810571634741146
